course_id,title,description,tags,text,provider,subject,level,duration_hours,url
openlearn_2ff274fa1cc9,Where to take your learning next,By now you will already know all about the amazing learning opportunities available on OpenLearn. You may have completed many OpenLearn courses or perhaps just one or two. However much you’ve done ...,,Where to take your learning next By now you will already know all about the amazing learning opportunities available on OpenLearn. You may have completed many OpenLearn courses or perhaps just one or two. However much you’ve done ...,OpenLearn (The Open University),education development,,24.0,https://www.open.edu/openlearn/education-development/where-take-your-learning-next
openlearn_839f8b030fcb,Human Resource Management and EDI,"Based on adapted material from B810, this course will highlight why equality, diversity and inclusion (EDI) are key for the practice of Human Resource Management (HRM) today. This includes the ...",,"Human Resource Management and EDI Based on adapted material from B810, this course will highlight why equality, diversity and inclusion (EDI) are key for the practice of Human Resource Management (HRM) today. This includes the ...",OpenLearn (The Open University),money business,Advanced,,https://www.open.edu/openlearn/money-business/human-resource-management-and-edi
openlearn_bc03d0412e7d,Supporting university students with a mental health condition,"There is an increasing prevalence of university students who need mental health support and university staff benefit from training on this topic. This course explores this phenomenon, drawing on an...",,"Supporting university students with a mental health condition There is an increasing prevalence of university students who need mental health support and university staff benefit from training on this topic. This course explores this phenomenon, drawing on an...",OpenLearn (The Open University),health sports psychology,Introductory,,https://www.open.edu/openlearn/health-sports-psychology/supporting-university-students-mental-health-condition
openlearn_4134bcc953b9,Understanding systems thinking in practice (STiP),"With media and political attention given to systemic failure, systems thinking is increasingly advocated as an alternative way of managing human interventions associated with socio-economic and ...",,"Understanding systems thinking in practice (STiP) With media and political attention given to systemic failure, systems thinking is increasingly advocated as an alternative way of managing human interventions associated with socio-economic and ...",OpenLearn (The Open University),science maths technology,Advanced,,https://www.open.edu/openlearn/science-maths-technology/understanding-systems-thinking-practice-stip
openlearn_98f3f556446c,Algorithmic Design,This course explores the creative potential of designing with algorithms. This is part of the new BDes Design qualification at The Open University. Learn to think algorithmically and tweak code to ...,,Algorithmic Design This course explores the creative potential of designing with algorithms. This is part of the new BDes Design qualification at The Open University. Learn to think algorithmically and tweak code to ...,OpenLearn (The Open University),science maths technology,Introductory,,https://www.open.edu/openlearn/science-maths-technology/design-innovation/algorithmic-design/content-section-0
openlearn_43cfe85d250c,Cyflwyniad i efelychu digidol ym maes gofal iechyd,"Mae efelychu yn darparu lle diogel ar gyfer dysgu a gwella, gan arwain at weithwyr gofal iechyd proffesiynol sydd wedi'u paratoi'n well ac amgylcheddau gofal cleifion mwy diogel. Bydd y cwrs ...",,"Cyflwyniad i efelychu digidol ym maes gofal iechyd Mae efelychu yn darparu lle diogel ar gyfer dysgu a gwella, gan arwain at weithwyr gofal iechyd proffesiynol sydd wedi'u paratoi'n well ac amgylcheddau gofal cleifion mwy diogel. Bydd y cwrs ...",OpenLearn (The Open University),health sports psychology,,,https://www.open.edu/openlearn/health-sports-psychology/cyflwyniad-i-efelychu-digidol-ym-maes-gofal-iechyd
openlearn_c6c4991f1895,An introduction to digital simulation in healthcare,"Simulation provides a safe space for learning and improvement, leading to better-prepared healthcare professionals and safer patient care environments. This free course will help you develop an...",,"An introduction to digital simulation in healthcare Simulation provides a safe space for learning and improvement, leading to better-prepared healthcare professionals and safer patient care environments. This free course will help you develop an...",OpenLearn (The Open University),health sports psychology,Introductory,,https://www.open.edu/openlearn/health-sports-psychology/an-introduction-digital-simulation-healthcare
openlearn_7e13f0ef80ca,Becoming an ethical researcher,"This free course, Becoming an ethical researcher, explores the ethics of planning, carrying out and reporting research which involves human participants. It will sensitise you to issues that a ...",,"Becoming an ethical researcher This free course, Becoming an ethical researcher, explores the ethics of planning, carrying out and reporting research which involves human participants. It will sensitise you to issues that a ...",OpenLearn (The Open University),education development,Advanced,,https://www.open.edu/openlearn/education-development/becoming-ethical-researcher
openlearn_f87eb4d717ef,Supporting babies and toddlers,The first two years of a child’s life are a time of incredible change and development. This free course helps practitioners to understand these changes and explore how they can support babies and ...,,Supporting babies and toddlers The first two years of a child’s life are a time of incredible change and development. This free course helps practitioners to understand these changes and explore how they can support babies and ...,OpenLearn (The Open University),education development,Introductory,,https://www.open.edu/openlearn/education-development/early-years/supporting-babies-and-toddlers/content-section-overview
openlearn_fa56e1dfdac3,Introducing International Relations,In this free course you will be introduced to the subject of International Relations (IR). You will learn how IR seeks to analyse vital global problems and the key actors and issues involved. In ...,,Introducing International Relations In this free course you will be introduced to the subject of International Relations (IR). You will learn how IR seeks to analyse vital global problems and the key actors and issues involved. In ...,OpenLearn (The Open University),society politics law,Introductory,,https://www.open.edu/openlearn/society-politics-law/introducing-international-relations
